date,market,commodity,unit,pricetype,currency,price
2006-01-15,Nairobi,Maize,KG,Wholesale,KES,15.48
2006-02-15,Nairobi,Maize,KG,Wholesale,KES,16.41
2006-03-15,Nairobi,Maize,KG,Wholesale,KES,16.91
2006-04-15,Nairobi,Maize,KG,Wholesale,KES,17.02
2006-05-15,Nairobi,Maize,KG,Wholesale,KES,17.71
2006-07-15,Nairobi,Maize,KG,Wholesale,KES,18.61
2006-09-15,Nairobi,Maize,KG,Wholesale,KES,14.8
2006-11-15,Nairobi,Maize,KG,Wholesale,KES,14.19
2006-12-15,Nairobi,Maize,KG,Wholesale,KES,13.34
2007-01-15,Nairobi,Maize,KG,Wholesale,KES,15.0
2007-02-15,Nairobi,Maize,KG,Wholesale,KES,14.69
2007-03-15,Nairobi,Maize,KG,Wholesale,KES,13.27
2007-05-15,Nairobi,Maize,KG,Wholesale,KES,13.53
2007-07-15,Nairobi,Maize,KG,Wholesale,KES,13.4
2007-08-15,Nairobi,Maize,KG,Wholesale,KES,13.17
2007-09-15,Nairobi,Maize,KG,Wholesale,KES,13.49
2007-10-15,Nairobi,Maize,KG,Wholesale,KES,13.43
2008-03-15,Nairobi,Maize,KG,Wholesale,KES,15.05
2008-04-15,Nairobi,Maize,KG,Wholesale,KES,16.04
2008-05-15,Nairobi,Maize,KG,Wholesale,KES,20.46
2008-06-15,Nairobi,Maize,KG,Wholesale,KES,23.5
2008-08-15,Nairobi,Maize,KG,Wholesale,KES,22.31
2008-10-15,Nairobi,Maize,KG,Wholesale,KES,25.11
2008-11-15,Nairobi,Maize,KG,Wholesale,KES,27.46
2009-01-15,Nairobi,Maize,KG,Wholesale,KES,23.37
2009-03-15,Nairobi,Maize,KG,Wholesale,KES,29.67
2009-04-15,Nairobi,Maize,KG,Wholesale,KES,30.04
2009-05-15,Nairobi,Maize,KG,Wholesale,KES,33.27
2009-06-15,Nairobi,Maize,KG,Wholesale,KES,29.36
2009-08-15,Nairobi,Maize,KG,Wholesale,KES,27.23
2009-09-15,Nairobi,Maize,KG,Wholesale,KES,28.39
2009-10-15,Nairobi,Maize,KG,Wholesale,KES,25.82
2009-11-15,Nairobi,Maize,KG,Wholesale,KES,26.93
2009-12-15,Nairobi,Maize,KG,Wholesale,KES,29.28
2010-01-15,Nairobi,Maize,KG,Wholesale,KES,27.28
2010-04-15,Nairobi,Maize,KG,Wholesale,KES,22.28
2010-05-15,Nairobi,Maize,KG,Wholesale,KES,19.2
2010-06-15,Nairobi,Maize,KG,Wholesale,KES,18.68
2010-07-15,Nairobi,Maize,KG,Wholesale,KES,13.61
2010-09-15,Nairobi,Maize,KG,Wholesale,KES,16.71
2010-10-15,Nairobi,Maize,KG,Wholesale,KES,16.86
2011-03-15,Nairobi,Maize,KG,Wholesale,KES,23.39
2011-07-15,Nairobi,Maize,KG,Wholesale,KES,45.58
2011-08-15,Nairobi,Maize,KG,Wholesale,KES,42.93
2011-10-15,Nairobi,Maize,KG,Wholesale,KES,33.63
2011-11-15,Nairobi,Maize,KG,Wholesale,KES,35.52
2012-02-15,Nairobi,Maize,KG,Wholesale,KES,30.2
2012-03-15,Nairobi,Maize,KG,Wholesale,KES,29.5
2012-04-15,Nairobi,Maize,KG,Wholesale,KES,30.54
2012-05-15,Nairobi,Maize,KG,Wholesale,KES,35.96
