date,market,commodity,unit,pricetype,currency,price
2006-01-15,Nairobi,Maize,KG,Wholesale,KES,15.48
2006-01-15,Nairobi,Beans,KG,Wholesale,KES,42.31
2006-01-15,Kisumu,Maize,KG,Wholesale,KES,14.84
2006-01-15,Kisumu,Beans,KG,Wholesale,KES,39.61
2006-02-15,Nairobi,Maize,KG,Wholesale,KES,16.41
2006-02-15,Kisumu,Maize,KG,Wholesale,KES,17.83
2006-02-15,Kisumu,Beans,KG,Wholesale,KES,42.79
2006-03-15,Nairobi,Maize,KG,Wholesale,KES,16.91
2006-03-15,Nairobi,Beans,KG,Wholesale,KES,42.31
2006-03-15,Kisumu,Maize,KG,Wholesale,KES,14.75
2006-03-15,Kisumu,Beans,KG,Wholesale,KES,54.52
2006-04-15,Nairobi,Maize,KG,Wholesale,KES,17.02
2006-04-15,Kisumu,Maize,KG,Wholesale,KES,16.6
2006-04-15,Kisumu,Beans,KG,Wholesale,KES,50.15
2006-05-15,Nairobi,Maize,KG,Wholesale,KES,17.71
2006-05-15,Nairobi,Beans,KG,Wholesale,KES,49.72
2006-05-15,Kisumu,Maize,KG,Wholesale,KES,18.77
2006-05-15,Kisumu,Beans,KG,Wholesale,KES,48.09
2006-06-15,Nairobi,Beans,KG,Wholesale,KES,33.07
2006-06-15,Kisumu,Maize,KG,Wholesale,KES,19.3
2006-06-15,Kisumu,Beans,KG,Wholesale,KES,38.51
2006-07-15,Nairobi,Maize,KG,Wholesale,KES,18.61
2006-07-15,Kisumu,Maize,KG,Wholesale,KES,17.26
2006-07-15,Kisumu,Beans,KG,Wholesale,KES,34.77
2006-08-15,Kisumu,Maize,KG,Wholesale,KES,15.24
2006-09-15,Nairobi,Maize,KG,Wholesale,KES,14.8
2006-09-15,Nairobi,Beans,KG,Wholesale,KES,34.75
2006-09-15,Kisumu,Maize,KG,Wholesale,KES,13.6
2006-09-15,Kisumu,Beans,KG,Wholesale,KES,30.74
2006-10-15,Kisumu,Maize,KG,Wholesale,KES,13.67
2006-11-15,Nairobi,Maize,KG,Wholesale,KES,14.19
